date,TargetXGB_scale
2016-06-18 0:00,-124.2236717
2016-06-19 0:00,228.9714216
2016-06-20 0:00,-93.6985602
2016-06-21 0:00,532.7271438
2016-06-22 0:00,-167.8321591
2016-06-23 0:00,-359.7712146
2016-06-24 0:00,-422.9423467
2016-06-25 0:00,9.054495035
2016-06-26 0:00,230.8555345
2016-06-27 0:00,387.7146288
2016-06-28 0:00,-87.46452954
2016-06-29 0:00,610.0282023
2016-06-30 0:00,-72.83988416
2016-07-01 0:00,-164.5473756
2016-07-02 0:00,551.5138534
2016-07-03 0:00,-597.2941901
2016-07-04 0:00,573.9344478
2016-07-05 0:00,277.0063173
2016-07-06 0:00,31.63245427
2016-07-07 0:00,83.64082057
2016-07-08 0:00,-657.9670221
2016-07-09 0:00,-147.6530464
2016-07-10 0:00,34.49699722
2016-07-11 0:00,-147.4211488
2016-07-12 0:00,3.687541549
2016-07-13 0:00,120.2491558
2016-07-14 0:00,34.56582698
2016-07-15 0:00,-147.2314254
2016-07-16 0:00,35.05509868
2016-07-17 0:00,-724.1185372
2016-07-18 0:00,588.4080093
2016-07-19 0:00,-170.1326731
2016-07-20 0:00,-145.4771378
2016-07-21 0:00,22.36399234
2016-07-22 0:00,-523.9604379
2016-07-23 0:00,-44.79622135
2016-07-24 0:00,-466.4110944
2016-07-25 0:00,768.874177
2016-07-26 0:00,453.057858
2016-07-27 0:00,-225.7819976
2016-07-28 0:00,-220.7251496
2016-07-29 0:00,38.79953247
2016-07-30 0:00,-135.8451981
2016-07-31 0:00,-131.2828381
2016-08-01 0:00,-67.8752996
2016-08-02 0:00,-36.3936612
2016-08-03 0:00,-132.910125
2016-08-04 0:00,-251.2092295
2016-08-05 0:00,-435.6014183
2016-08-06 0:00,-151.3415027
2016-08-07 0:00,192.8718867
2016-08-08 0:00,524.2527875
2016-08-09 0:00,-299.4335024
2016-08-10 0:00,427.0358001
2016-08-11 0:00,-142.7120727
2016-08-12 0:00,-153.5518264
2016-08-13 0:00,183.7043255
2016-08-14 0:00,239.8754346
2016-08-15 0:00,65.50759005
2016-08-16 0:00,-42.64315854
2016-08-17 0:00,39.17187585
2016-08-18 0:00,39.55454811
2016-08-19 0:00,-190.608744
2016-08-20 0:00,-111.5523655
2016-08-21 0:00,-323.7549324
2016-08-22 0:00,-568.3180774
2016-08-23 0:00,-33.62914814
2016-08-24 0:00,-319.4311702
2016-08-25 0:00,576.1942945
2016-08-26 0:00,-139.6005186
2016-08-27 0:00,-529.3787005
2016-08-28 0:00,44.88395323
2016-08-29 0:00,-18.32958433
2016-08-30 0:00,-224.3619207
2016-08-31 0:00,147.9901393
2016-09-01 0:00,-228.6505583
2016-09-02 0:00,46.99358941
2016-09-03 0:00,-297.9936013
2016-09-04 0:00,-207.2879543
2016-09-05 0:00,48.64840966
2016-09-06 0:00,-383.3296801
2016-09-07 0:00,-616.8163974
2016-09-08 0:00,275.5425748
2016-09-09 0:00,-503.1754039
2016-09-10 0:00,53.82880591
2016-09-11 0:00,541.2474841
2016-09-12 0:00,286.4508001
2016-09-13 0:00,-564.0967485
2016-09-14 0:00,-245.2560304
2016-09-15 0:00,-219.0433368
2016-09-16 0:00,777.7261474
2016-09-17 0:00,742.4589378
2016-09-18 0:00,-241.5224655
2016-09-19 0:00,46.36683478
2016-09-20 0:00,-154.8279317
2016-09-21 0:00,387.6989288
2016-09-22 0:00,215.1693995
2016-09-23 0:00,-410.6259451
2016-09-24 0:00,-310.3736607
2016-09-25 0:00,-129.6744051
2016-09-26 0:00,-656.6080984
2016-09-27 0:00,-482.8622173
2016-09-28 0:00,43.85543819
2016-09-29 0:00,125.1459316
2016-09-30 0:00,-348.8514377
2016-10-01 0:00,495.4129533
2016-10-02 0:00,548.7663663
2016-10-03 0:00,-305.3338584
2016-10-04 0:00,91.22857067
2016-10-05 0:00,-59.32721406
2016-10-06 0:00,-177.7343385
2016-10-07 0:00,433.615376
2016-10-08 0:00,-91.77419392
2016-10-09 0:00,-346.192191
2016-10-10 0:00,-134.612398
2016-10-11 0:00,-177.8352197
2016-10-12 0:00,-349.6441614
2016-10-13 0:00,-3.459872575
2016-10-14 0:00,637.6536226
2016-10-15 0:00,-729.8142821
2016-10-16 0:00,426.5096323
2016-10-17 0:00,564.746126
2016-10-18 0:00,248.1485859
2016-10-19 0:00,-287.5549582
2016-10-20 0:00,475.5715342
2016-10-21 0:00,-17.04596029
2016-10-22 0:00,-184.0811872
2016-10-23 0:00,300.5014352
2016-10-24 0:00,654.581681
2016-10-25 0:00,176.3454655
2016-10-26 0:00,-234.7340106
2016-10-27 0:00,-429.0715774
2016-10-28 0:00,-542.0002187
2016-10-29 0:00,585.7176409
2016-10-30 0:00,-825.1542368
2016-10-31 0:00,-414.2835685
2016-11-01 0:00,-238.0024285
2016-11-02 0:00,621.951915
2016-11-03 0:00,101.7559465
2016-11-04 0:00,-200.7855435
2016-11-05 0:00,50.15898024
2016-11-06 0:00,-277.5909905
2016-11-07 0:00,-267.3448756
2016-11-08 0:00,-287.323248
2016-11-09 0:00,-187.4401908
